"","Max_temp_F","Min_temp_F","Max_VPD_kPa","Min_VPD_kPa","Precip_in","SM_1m_m3/m3","SM_20cm_m3/m3"
"2022-06-29 23:30:00",75.333,52.992,1.0088763362648,0.0284809272455508,0,0.359333333333333,0.2591875
"2022-06-30 23:30:00",77.335,47.422,1.14345225994015,0.026349598779327,0,0.359194444444444,0.258083333333333
"2022-07-01 23:30:00",76.114,49.737,0.857310218811073,0.0280806149660309,0,0.358916666666667,0.256930555555556
"2022-07-02 23:30:00",70.716,54.037,0.594271510681529,0.0433913528539772,0,0.358722222222222,0.255875
"2022-07-03 23:30:00",72.136,50.974,0.698862649073819,0.0398708749434244,0,0.358416666666667,0.255111111111111
"2022-07-04 23:30:00",78.076,48.137,1.54733218661625,0.022724152315862,0,0.358208333333333,0.253902777777778
"2022-07-05 23:30:00",78.559,52.509,0.858452443128762,0.0344226937494595,0.088,0.358069444444444,0.252930555555556
"2022-07-06 23:30:00",73.731,55.776,0.746294832277993,0.0268879940106109,0.008,0.357888888888889,0.25275
"2022-07-07 23:30:00",74.77,52.378,0.856048726415339,0.0280806149660309,0,0.357625,0.251666666666667
"2022-07-08 23:30:00",80.713,51.589,1.32421606541255,0.0253040131798762,0,0.357,0.250708333333333
"2022-07-09 23:30:00",83.467,53.209,1.36054453469359,0.029006586695567,0,0.35675,0.249152777777778
"2022-07-10 23:30:00",81.376,49.338,1.59658893554971,0.0486632320365135,0,0.356402777777778,0.247916666666667
"2022-07-11 23:30:00",91.589,55.213,2.48763499870054,0.0731477083432846,0,0.356,0.246847222222222
"2022-07-12 23:30:00",89.87,61.891,2.11288837728434,0.102376534603985,0,0.355819444444444,0.245319444444444
"2022-07-13 23:30:00",81.023,51.633,1.40175146685481,0.055694932739542,0,0.355291666666667,0.2445
"2022-07-14 23:30:00",83.736,49.87,1.56117783013228,0.0346847636105029,0,0.355013888888889,0.243208333333333
"2022-07-15 23:30:00",82.396,47.736,1.82445780261826,0.0292521797107323,0,0.355,0.241847222222222
"2022-07-16 23:30:00",73.256,53.035,0.687842245613575,0.0317500112631469,0,0.354625,0.240527777777778
"2022-07-17 23:30:00",75.074,54.43,1.06728725055153,0.119322797075518,0,0.354166666666667,0.239277777777778
"2022-07-18 23:30:00",78.996,49.649,1.31979819487912,0.0969187437378897,0,0.353986111111111,0.2375
"2022-07-19 23:30:00",88.075,52.772,1.87304940776509,0.0418649202662417,0,0.353652777777778,0.236125
"2022-07-20 23:30:00",92.104,56.944,2.68542681957746,0.0505971005961198,0,0.353236111111111,0.234875
"2022-07-21 23:30:00",82.665,52.072,1.29768981744507,0.0301830053782478,0,0.352777777777778,0.233805555555556
"2022-07-22 23:30:00",76.375,51.984,1.07719167623674,0.0405745536398477,0,0.352333333333333,0.232902777777778
"2022-07-23 23:30:00",77.639,50.709,1.0637534148129,0.0298866184157772,0,0.352041666666667,0.23175
"2022-07-24 23:30:00",87.483,51.413,1.93724669458543,0.0365227650356356,0,0.351638888888889,0.230444444444444
"2022-07-25 23:30:00",96.435,59.745,2.52628407796365,0.124388699134253,0,0.351138888888889,0.229347222222222
"2022-07-26 23:30:00",98.184,62.577,2.89740424324533,0.280016280534107,0,0.350486111111111,0.228652777777778
"2022-07-27 23:30:00",94.181,58.066,2.24366378251449,0.0830154687916654,0,0.349791666666667,0.233236111111111
"2022-07-28 23:30:00",94.753,60.647,2.19754824370516,0.0932071218586536,0,0.349319444444444,0.251444444444444
"2022-07-29 23:30:00",98.971,64.888,2.89528982807625,0.0826217884411424,0,0.348875,0.249902777777778
"2022-07-30 23:30:00",97.111,66.429,2.2698322795062,0.08917930312419,0,0.348416666666667,0.248597222222222
"2022-07-31 23:30:00",93.045,66.087,2.04789481521411,0.0635873137477986,0,0.348222222222222,0.247541666666667
"2022-08-01 23:30:00",87.118,58.669,1.58672368422538,0.0811455124047226,0,0.347791666666667,0.246222222222222
"2022-08-02 23:30:00",92.763,57.506,2.91321667307388,0.036509550439709,0,0.347194444444444,0.244694444444444
"2022-08-03 23:30:00",89.776,53.121,2.49441418028805,0.129320744062403,0,0.347,0.243055555555556
"2022-08-04 23:30:00",79.92,47.736,1.3974631454353,0.0293012521714834,0,0.346736111111111,0.241902777777778
"2022-08-05 23:30:00",84.452,50.092,1.86247782718653,0.0653664822541023,0,0.346375,0.240666666666667
"2022-08-06 23:30:00",89.823,51.94,2.26174255410008,0.159792482980895,0,0.346027777777778,0.239430555555556
"2022-08-07 23:30:00",94.658,59.358,2.67300049228141,0.273550643374652,0,0.345430555555556,0.238291666666667
"2022-08-08 23:30:00",82.396,51.678,1.34045874433592,0.0439090363070392,0,0.345180555555556,0.237569444444444
"2022-08-09 23:30:00",82.575,51.633,1.2985193685987,0.0300558059292804,0,0.344916666666667,0.237083333333333
"2022-08-10 23:30:00",80.051,55.819,1.30625876787599,0.0783637017871754,0,0.344388888888889,0.236166666666667
"2022-08-11 23:30:00",86.437,51.589,1.8429948101909,0.0362131259114769,0,0.343875,0.235347222222222
